sl.no,date,price
228,20/05/2023,6259.26
229,21/05/2023,6529.26
230,22/05/2023,6269.58
231,23/05/2023,6255.42
232,24/05/2023,6219.67
233,25/05/2023,6171.81
234,26/05/2023,6163.14
235,27/05/2023,6170.84
236,28/05/2023,6170.84
237,29/05/2023,6164.96
238,30/05/2023,6212.15
239,31/05/2023,6225.52
240,01/06/2023,6218.07
241,02/06/2023,6144.21
242,03/06/2023,6130.35
243,04/06/2023,6130.35
244,05/06/2023,6179.95
245,06/06/2023,6196.60
246,07/06/2023,6131.50
247,08/06/2023,6189.60
248,09/06/2023,6178.99
249,10/06/2023,6180.23
250,11/06/2023,6180.23
251,12/06/2023,6158.73
252,13/06/2023,6125.51
253,14/06/2023,6114.14
254,15/06/2023,6147.27
255,16/06/2023,6131.71
256,17/06/2023,6114.58
257,18/06/2023,6114.58
258,19/06/2023,6106.43
259,20/06/2023,6081.62
260,21/06/2023,6069.68
261,22/06/2023,6008.27
262,23/06/2023,6029.66
263,24/06/2023,6037.26
264,25/06/2023,6037.26
265,26/06/2023,6042.74
266,27/06/2023,6012.86
267,28/06/2023,6010.97
268,29/06/2023,6003.01
269,30/06/2023,6032.98
270,01/07/2023,6016.71
271,02/07/2023,6016.71
272,03/07/2023,6004.89
273,04/07/2023,6018.75
